prompt,expected_output,actual_output,category,difficulty
"What is the capital of France?","Paris","Paris","geography","easy"
"Explain the concept of machine learning","Machine learning is a subset of artificial intelligence that enables computers to learn and make decisions from data without being explicitly programmed for every task.","Machine learning is when computers learn from data to make predictions or decisions automatically.","technology","medium"
"What are the benefits of renewable energy?","Renewable energy sources like solar and wind power provide clean electricity, reduce greenhouse gas emissions, create jobs, and offer energy independence.","Renewable energy helps the environment by being clean and sustainable, reducing pollution.","environment","medium"
"How do you calculate compound interest?","Compound interest is calculated using the formula A = P(1 + r/n)^(nt), where A is the final amount, P is principal, r is annual interest rate, n is number of times interest compounds per year, and t is time in years.","You use the formula A = P(1 + r)^t to calculate compound interest over time.","finance","hard"
"Describe the water cycle","The water cycle involves evaporation of water from oceans and lakes, condensation into clouds, precipitation as rain or snow, and collection back into water bodies.","Water evaporates, forms clouds, then falls as rain and goes back to the ocean.","science","easy"
"What is photosynthesis?","Photosynthesis is the process by which green plants use sunlight, water, and carbon dioxide to create glucose and oxygen.","Plants use sunlight and water to make food and oxygen.","biology","medium"
"Who discovered gravity?","Sir Isaac Newton is credited with discovering and formulating the law of universal gravitation.","Newton discovered gravity when an apple fell on his head.","physics","easy"
"What is democracy?","Democracy is a system of government where power is held by the people, either directly or through elected representatives.","Democracy is when people vote for their leaders.","politics","medium"
"Explain DNA structure","DNA has a double helix structure with two antiparallel strands connected by hydrogen bonds between complementary base pairs (A-T and G-C).","DNA is like a twisted ladder with bases that connect: A with T, and G with C.","biology","hard"
"What causes earthquakes?","Earthquakes are caused by the sudden release of energy from tectonic plates moving and grinding against each other along fault lines.","Earthquakes happen when the ground shakes because of moving rocks underground.","geology","medium"
