prompt,expected_output,actual_output,category,difficulty
"What is the capital of France?","Paris","Paris is the capital city of France.","geography","easy"
"Explain the difference between mitosis and meiosis","Mitosis produces two identical diploid cells for growth and repair, while meiosis produces four genetically different haploid gametes for reproduction.","Mitosis is cell division that creates two identical cells, while meiosis creates four different sex cells.","biology","medium"
"How do you calculate compound interest?","Compound interest is calculated using the formula A = P(1 + r/n)^(nt), where A is the final amount, P is principal, r is annual interest rate, n is compounding frequency, and t is time in years.","You calculate compound interest using A = P(1 + r)^t where A is final amount, P is principal, r is rate, and t is time.","finance","hard"
"What causes global warming?","Global warming is primarily caused by increased greenhouse gas emissions from human activities, particularly carbon dioxide from burning fossil fuels, deforestation, and industrial processes.","Global warming is caused by greenhouse gases like CO2 from cars, factories, and burning fossil fuels.","environment","medium"
"Define artificial intelligence","Artificial Intelligence (AI) is the simulation of human intelligence in machines programmed to think, learn, and make decisions like humans, including capabilities like problem-solving, pattern recognition, and natural language processing.","AI is when computers can think and learn like humans to solve problems and make decisions.","technology","medium"
"What is the speed of light?","The speed of light in a vacuum is approximately 299,792,458 meters per second or about 186,282 miles per second.","The speed of light is about 300,000 kilometers per second.","physics","easy"
"Explain photosynthesis","Photosynthesis is the process by which green plants and some other organisms use sunlight, water, and carbon dioxide to create glucose and oxygen. The chemical equation is 6CO2 + 6H2O + light energy → C6H12O6 + 6O2.","Photosynthesis is when plants use sunlight, water and CO2 to make food and oxygen.","biology","medium"
"What is the largest planet in our solar system?","Jupiter is the largest planet in our solar system, with a mass greater than all other planets combined.","Jupiter is the biggest planet in the solar system.","astronomy","easy"
"How does blockchain technology work?","Blockchain is a distributed ledger technology that maintains a continuously growing list of records (blocks) linked and secured using cryptography. Each block contains a cryptographic hash of the previous block, timestamp, and transaction data.","Blockchain is a digital ledger that stores data in connected blocks that can't be changed easily.","technology","hard"
"What is the water cycle?","The water cycle is the continuous movement of water on, above, and below Earth's surface through evaporation, condensation, precipitation, and collection processes.","The water cycle is when water evaporates, forms clouds, rains, and goes back to rivers and oceans.","science","easy"
"Explain Newton's first law of motion","Newton's first law states that an object at rest stays at rest and an object in motion stays in motion at constant velocity unless acted upon by an unbalanced external force. This is also known as the law of inertia.","Newton's first law says objects don't change their motion unless something pushes or pulls them.","physics","medium"
"What is democracy?","Democracy is a system of government where power is vested in the people, who rule either directly or through freely elected representatives. Key principles include majority rule, individual rights, and political equality.","Democracy is when people vote to choose their leaders and make decisions together.","politics","medium"
"How do vaccines work?","Vaccines work by introducing a weakened, killed, or modified version of a pathogen to stimulate the immune system to produce antibodies and memory cells, providing immunity against future infections.","Vaccines teach your immune system to fight diseases by giving it a safe practice version.","medicine","medium"
"What is the Pythagorean theorem?","The Pythagorean theorem states that in a right triangle, the square of the hypotenuse equals the sum of squares of the other two sides: a² + b² = c².","The Pythagorean theorem is a² + b² = c² for right triangles.","mathematics","easy"
"Explain supply and demand","Supply and demand is an economic model describing the relationship between the availability of a commodity (supply) and the desire for that commodity (demand). When demand exceeds supply, prices tend to rise; when supply exceeds demand, prices tend to fall.","Supply and demand means when more people want something than available, prices go up.","economics","medium"
"What is machine learning?","Machine learning is a subset of artificial intelligence that enables computers to learn and improve from experience without being explicitly programmed, using algorithms to identify patterns in data and make predictions.","Machine learning is when computers learn from data to make predictions without being programmed.","technology","medium"
"Who wrote Romeo and Juliet?","William Shakespeare wrote Romeo and Juliet, a tragic play about young star-crossed lovers, first published in 1597.","Shakespeare wrote Romeo and Juliet.","literature","easy"
"What is climate change?","Climate change refers to long-term shifts and alterations in global temperatures and weather patterns, primarily driven by human activities that increase greenhouse gas concentrations in the atmosphere.","Climate change is when Earth's weather and temperature change over time because of pollution.","environment","medium"
"Explain DNA structure","DNA (deoxyribonucleic acid) has a double helix structure consisting of two antiparallel strands of nucleotides connected by hydrogen bonds between complementary base pairs (A-T and G-C).","DNA is like a twisted ladder with bases that pair up: A with T, and G with C.","biology","hard"
"What is the theory of evolution?","The theory of evolution explains how species change over time through natural selection, where organisms with favorable traits are more likely to survive and reproduce, passing these traits to offspring.","Evolution is how animals and plants change over time to survive better in their environment.","biology","medium"
"How does the internet work?","The internet works through a global network of interconnected computers that communicate using standardized protocols (TCP/IP) to transmit data packets across various networks, routers, and servers.","The internet connects computers around the world so they can share information.","technology","hard"
"What is renewable energy?","Renewable energy comes from natural sources that replenish themselves over time, such as solar, wind, hydroelectric, geothermal, and biomass energy, offering sustainable alternatives to fossil fuels.","Renewable energy comes from sources like sun, wind, and water that don't run out.","environment","medium"
"Define photosynthesis equation","The photosynthesis equation is: 6CO2 + 6H2O + light energy → C6H12O6 + 6O2, representing carbon dioxide plus water plus light energy producing glucose and oxygen.","6CO2 + 6H2O + light → C6H12O6 + 6O2","biology","hard"
"What is GDP?","Gross Domestic Product (GDP) is the total monetary value of all finished goods and services produced within a country's borders during a specific time period, typically measured annually.","GDP is the total value of everything a country produces in a year.","economics","medium"
"Explain quantum physics basics","Quantum physics studies matter and energy at the smallest scales, where particles exhibit wave-particle duality, uncertainty principles, and quantum superposition, fundamentally different from classical physics.","Quantum physics is about tiny particles that behave in strange ways, like being in multiple places at once.","physics","hard"
"What is the greenhouse effect?","The greenhouse effect is a natural process where certain gases in Earth's atmosphere trap heat from the sun, keeping the planet warm enough to support life, but human activities are intensifying this effect.","The greenhouse effect is when gases in the air trap heat from the sun to keep Earth warm.","environment","medium"
"How do antibiotics work?","Antibiotics work by targeting specific bacterial processes or structures, such as cell wall synthesis, protein production, or DNA replication, to kill bacteria or inhibit their growth without harming human cells.","Antibiotics kill bacteria that make people sick by attacking parts that bacteria need to survive.","medicine","medium"
"What is the scientific method?","The scientific method is a systematic approach to understanding the natural world through observation, hypothesis formation, experimentation, data analysis, and peer review to establish reliable knowledge.","The scientific method is how scientists test ideas by making guesses, doing experiments, and checking results.","science","medium"
"Explain market capitalism","Market capitalism is an economic system where private individuals or businesses own capital goods and make production decisions based on supply and demand in competitive markets with minimal government intervention.","Capitalism is when private companies compete in free markets to make profits.","economics","medium"
"What is CRISPR gene editing?","CRISPR-Cas9 is a revolutionary gene-editing technology that allows precise modification of DNA sequences by cutting specific genes and inserting, deleting, or replacing genetic material.","CRISPR is a tool that lets scientists edit genes like editing text in a document.","biotechnology","hard"
